Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.8916184971098265,0.8799063907744558,,0.8913297991481851,2.792402505874634
LGBMClassifier,0.8908156711624919,0.8789300108426017,,0.8904158007863652,10.400810241699219
RandomForestClassifier,0.8848747591522158,0.8719827243435331,,0.8844380501833417,3.757274627685547
BaggingClassifier,0.8691393705844573,0.8554998867822421,,0.868741309420098,1.3649826049804688
ExtraTreesClassifier,0.8670520231213873,0.851673917898542,,0.8662217142608235,2.0198867321014404
SVC,0.8554913294797688,0.8399521291113404,,0.8549353617338491,9.652719736099243
LogisticRegression,0.8534039820166988,0.8377501323752244,,0.8519443466341743,0.7670285701751709
DecisionTreeClassifier,0.8328516377649325,0.8165414185146055,,0.8325875283511903,0.12332510948181152
LinearDiscriminantAnalysis,0.8126204238921002,0.7945591599826957,,0.8115618895721135,0.6317234039306641
NuSVC,0.8118175979447656,0.7926951043032917,,0.808553313725746,30.73567008972168
ExtraTreeClassifier,0.7585099550417469,0.7348024430904703,,0.7586849434716925,3.186232805252075
LabelSpreading,0.7585099550417469,0.7335167375349784,,0.757723670283695,89.57071352005005
LabelPropagation,0.7575465639049455,0.73258495912006,,0.7568523391272839,76.24076628684998
KNeighborsClassifier,0.7585099550417469,0.7313185188542516,,0.7542581516831907,10.202733755111694
CalibratedClassifierCV,0.7416506101477199,0.7125271851227807,,0.7309320550149787,5.322248458862305
AdaBoostClassifier,0.7363519588953115,0.7090694411277677,,0.7282173777290383,0.9777340888977051
LinearSVC,0.7361913937058445,0.7031929792654489,,0.7148439176870909,0.9145538806915283
SGDClassifier,0.665863840719332,0.6403568875197935,,0.6560551397673147,0.6177983283996582
GaussianNB,0.6701991008349389,0.6364378563953207,,0.6475702902885201,0.05708146095275879
BernoulliNB,0.6295761078998073,0.5933899231529897,,0.6187325059090524,0.05474281311035156
PassiveAggressiveClassifier,0.6184971098265896,0.5898435730581111,,0.61174204804782,0.20015168190002441
NearestCentroid,0.6069364161849711,0.5735367568925086,,0.5945280288699575,0.1166226863861084
Perceptron,0.5828516377649325,0.5510366901248868,,0.5573013742190612,0.1513965129852295
RidgeClassifier,0.5918432883750803,0.5483193254804283,,0.5385785013218131,0.1316976547241211
RidgeClassifierCV,0.5915221579961464,0.5479795171971761,,0.5381679809531267,0.10517287254333496
DummyClassifier,0.18914579319203598,0.14285714285714285,,0.060171143499923946,0.08442831039428711
